Carnet,DPI,Nombre,Carrera,Password,Creditos,Edad,Correo 
201533907,4009702438731,lionel messi,ingenieria Quimica,f33MG,149,26,lionelmessi45@outlook.es
201491494,0626298862212,josue perez,ingenieria Electrica,jxOrwE,51,19,josueperez76@aol.com
201045090,3182879872704,josue perez,ingenieria Mecanica,c5H3hd,68,25,josueperez.78@hotmail.org
201027375,5878008078748,auron play,ingenieria Electrica,oXqp3Z,100,23,auronplay_78@aol.es
201340841,8910197965661,lionel messi,ingenieria Mecanica,6Q3Jw,18,20,lionelmessi91@gmail.es
201296311,7220764828850,auron play,ingenieria en ciencias y sistemas,gmUE31Q,188,19,auronplay.48@aol.com
201835603,5541744429588,alma maria hernandez,ingenieria Quimica,BBjwdK,39,21,almamariahernandez.47@gmail.es
201639410,5065230216717,lionel messi,ingenieria Quimica,sW9t74,7,20,lionelmessi39@gmail.es
201590802,8963363122932,alma maria hernandez,ingenieria en ciencias y sistemas,hiRv2,78,29,almamariahernandez_28@undefined.com
201798433,2025270525778,luis garcia,ingenieria Electrica,18WlR5,18,20,luisgarcia8@aol.org
